adapt,adapt,To make something suitable for a new purpose or situation.,अनुकूल बनाना,एक नए उद्देश्य या स्थिति के लिए कुछ उपयुक्त बनाने के लिए।,परिस्थितीशी जुळवून घ्या,नवीन हेतू किंवा परिस्थितीसाठी काहीतरी योग्य बनविण्यासाठी.,,,,,,,,,,,,,Same
add,add,To combine two or more things together.,जोड़ना,एक साथ दो या अधिक चीजों को मिलाने के लिए।,जोडा,दोन किंवा अधिक गोष्टी एकत्र करण्यासाठी.,,,,,,,,,,,,,Same
addition,addition,The act of adding something to something else.,जोड़ना,कुछ और में कुछ जोड़ने का कार्य।,या व्यतिरिक्त,काहीतरी वेगळं काहीतरी जोडण्याची कृती.,,,,,,,,,,,,,Same
additional,additional,Extra; more than what is already present or available.,अतिरिक्त,अतिरिक्त; जो पहले से मौजूद या उपलब्ध है उससे अधिक।,अतिरिक्त,अतिरिक्त; आधीपासून अस्तित्त्वात किंवा उपलब्ध असलेल्या गोष्टींपेक्षा जास्त.,,,,,,,,,,,,,Same
address,address,The details of the place where someone lives or works.,पता,उस स्थान का विवरण जहां कोई रहता है या काम करता है।,पत्ता,कोणीतरी जिथे राहते किंवा कार्य करते त्या जागेचा तपशील.,,,,,,,,,,,,,Same
administration,Administration,The process or activity of managing an organization or government.,प्रशासन,किसी संगठन या सरकार के प्रबंधन की प्रक्रिया या गतिविधि।,प्रशासन,संस्था किंवा सरकार व्यवस्थापित करण्याची प्रक्रिया किंवा क्रियाकलाप.,,,,,,,,,,,,,Same
admire,Admire,To respect and feel pleased with someone or something.,प्रशंसा करना,किसी या किसी चीज से प्रसन्न होने और महसूस करने के लिए।,प्रशंसा,एखाद्याचा किंवा एखाद्या गोष्टीबद्दल आदर आणि आनंद वाटणे.,,,,,,,,,,,,,Same
admit,Admit,To confess or acknowledge something is true.,भर्ती होना,किसी चीज को स्वीकार करना या स्वीकार करना सच है।,कबूल करा,#VALUE!,,,,,,,,,,,,,Same
adopt,Adopt,To take up something or someone as one's own.,गोद लेना,कुछ या किसी को अपने के रूप में लेने के लिए।,दत्तक,एखाद्याचे स्वतःचे काहीतरी किंवा एखाद्याचे स्वतःचे म्हणून घेणे.,,,,,,,,,,,,,Same
adult,Adult,A person who is fully grown or developed.,वयस्क,एक व्यक्ति जो पूरी तरह से विकसित या विकसित हो गया है।,प्रौढ,एखादी व्यक्ती जी पूर्णपणे मोठी किंवा विकसित केली जाते.,,,,,,,,,,,,,Same
advance,Advance,To move forward or make progress.,अग्रिम,आगे बढ़ने या प्रगति करने के लिए।,प्रगती,पुढे जाण्यासाठी किंवा प्रगती करण्यासाठी.,,,,,,,,,,,,,Same
advanced,Advanced,At a higher level of progress or development.,विकसित,प्रगति या विकास के उच्च स्तर पर।,प्रगत,प्रगती किंवा विकासाच्या उच्च स्तरावर.,,,,,,,,,,,,,Same
advantage,Advantage,A condition or circumstance that benefits someone.,फ़ायदा,एक ऐसी स्थिति या परिस्थिति जो किसी को लाभान्वित करती है।,फायदा,एखाद्याचा फायदा होतो अशी स्थिती किंवा परिस्थिती.,,,,,,,,,,,,,Same
adventure,Adventure,An exciting or unusual experience or activity.,साहसिक काम,एक रोमांचक या असामान्य अनुभव या गतिविधि।,साहस,एक रोमांचक किंवा असामान्य अनुभव किंवा क्रियाकलाप.,,,,,,,,,,,,,Same
advertise,Advertise,To promote or make known a product or service.,विज्ञापित,किसी उत्पाद या सेवा को बढ़ावा देने या बनाने के लिए।,जाहिरात,उत्पादन किंवा सेवा प्रोत्साहित करणे किंवा ज्ञात करणे.,,,,,,,,,,,,,Same
advertisement,Advertisement,A notice or announcement promoting a product or service.,विज्ञापन,किसी उत्पाद या सेवा को बढ़ावा देने वाला नोटिस या घोषणा।,जाहिरात,उत्पादन किंवा सेवेला प्रोत्साहन देणारी नोटीस किंवा घोषणा.,,,,,,,,,,,,,Same
advertising,Advertising,The activity of promoting or selling products or services.,विज्ञापन देना,उत्पादों या सेवाओं को बढ़ावा देने या बेचने की गतिविधि।,जाहिरात,उत्पादने किंवा सेवांचा प्रचार किंवा विक्री करण्याची क्रिया.,,,,,,,,,,,,,Same
advice,Advice,Guidance or recommendations offered to someone.,सलाह,मार्गदर्शन या सिफारिशें किसी को दी गईं।,सल्ला,एखाद्यास ऑफर केलेल्या मार्गदर्शन किंवा शिफारसी.,,,,,,,,,,,,,Same
advise,Advise,To give advice or recommend something to someone.,सलाह देना,सलाह देने के लिए या किसी को कुछ सुझाने के लिए।,सल्ला,एखाद्यास सल्ला देणे किंवा काहीतरी शिफारस करणे.,,,,,,,,,,,,,Same
affair,Affair,A matter or event causing public interest or controversy.,मामला,एक मामला या घटना सार्वजनिक हित या विवाद का कारण बनती है।,प्रकरण,एक बाब किंवा घटना ज्यामुळे लोक हितसंबंध किंवा विवादास कारणीभूत आहे.,,,,,,,,,,,,,Same
affect,Affect,To have an impact on something or someone.,चाहना,किसी चीज या किसी पर प्रभाव डालने के लिए।,प्रभावित,एखाद्या गोष्टीवर किंवा एखाद्यावर प्रभाव पडण्यासाठी.,,,,,,,,,,,,,Same
afford,Afford,To have the financial means to buy or do something.,खर्च करना,कुछ खरीदने या कुछ करने के लिए वित्तीय साधन होना।,परवाना,काहीतरी खरेदी करणे किंवा करणे आर्थिक साधन असणे.,,,,,,,,,,,,,Same
afraid,Afraid,Feeling fear or apprehension.,डरना,भय या आशंका महसूस करना।,घाबरून,भीती किंवा भीती वाटत आहे.,,,,,,,,,,,,,Same
after,After,Following in time or place.,बाद,समय या स्थान पर निम्नलिखित।,नंतर,वेळ किंवा ठिकाणी अनुसरण.,,,,,,,,,,,,,Same
afternoon,Afternoon,The part of the day between noon and evening.,दोपहर,दोपहर और शाम के बीच दिन का हिस्सा।,दुपारी,दुपार ते संध्याकाळच्या दिवसाचा भाग.,,,,,,,,,,,,,Same
afterwards,Afterwards,At a later time or following an event.,उसके बाद,बाद में या किसी घटना के बाद।,त्यानंतर,नंतरच्या वेळी किंवा एखाद्या कार्यक्रमाचे अनुसरण.,,,,,,,,,,,,,Same
again,Again,"Once more, or another time.",दोबारा,"एक बार और, या दूसरी बार।",पुन्हा,"पुन्हा एकदा, किंवा दुसरी वेळ.",,,,,,,,,,,,,Same
against,Against,In opposition or contrast to something.,ख़िलाफ़,विरोध में या किसी चीज़ के विपरीत।,विरुद्ध,विरोधात किंवा एखाद्या गोष्टीच्या विरोधाभास मध्ये.,,,,,,,,,,,,,Same
age,Age,The length of time that someone has lived.,आयु,किसी ने उस समय की लंबाई जो जीवित रही है।,वय,कोणीतरी जगलेल्या वेळेची लांबी.,,,,,,,,,,,,,Same
aged,Aged,Having a particular age or aged appearance.,वृद्ध,एक विशेष आयु या वृद्ध उपस्थिति होना।,वृद्ध,विशिष्ट वय किंवा वृद्ध देखावा.,,,,,,,,,,,,,Same
agency,Agency,An organization that provides a particular service.,एजेंसी,एक संगठन जो एक विशेष सेवा प्रदान करता है।,एजन्सी,एखादी संस्था जी विशिष्ट सेवा प्रदान करते.,,,,,,,,,,,,,Same
agenda,Agenda,A list of items to be discussed or acted upon.,कार्यसूची,उन पर चर्चा की जाने वाली वस्तुओं की एक सूची।,अजेंडा,चर्चा करण्यासाठी किंवा त्यावर कारवाई करण्याच्या वस्तूंची यादी.,,,,,,,,,,,,,Same
agent,Agent,A person or company that acts on behalf of another.,प्रतिनिधि,एक व्यक्ति या कंपनी जो दूसरे की ओर से कार्य करती है।,एजंट,एखादी व्यक्ती किंवा कंपनी जी दुसर्‍याच्या वतीने कार्य करते.,,,,,,,,,,,,,Same
aggressive,Aggressive,Having a strong desire to succeed or compete.,आक्रामक,सफल होने या प्रतिस्पर्धा करने की एक मजबूत इच्छा होना।,आक्रमक,यशस्वी होण्याची किंवा स्पर्धा करण्याची तीव्र इच्छा आहे.,,,,,,,,,,,,,Same
ago,Ago,"In the past, or before the present time.",पहले,"अतीत में, या वर्तमान समय से पहले।",आधी,भूतकाळात किंवा सध्याच्या काळापूर्वी.,,,,,,,,,,,,,Same
agree,Agree,To have the same opinion or view as someone else.,सहमत,किसी और के समान राय या देखने के लिए।,सहमत,समान मत असणे किंवा दुसर्‍या कोणासारखे मत असणे.,,,,,,,,,,,,,Same
agreement,Agreement,A decision or arrangement made between two or more parties.,समझौता,दो या दो से अधिक दलों के बीच किया गया निर्णय या व्यवस्था।,करार,दोन किंवा अधिक पक्षांमध्ये निर्णय किंवा व्यवस्था.,,,,,,,,,,,,,Same
ah,Ah,"An exclamation used to express surprise, pleasure, or realization.",एएच,"एक विस्मयादिबोधक आश्चर्य, आनंद या प्राप्ति को व्यक्त करने के लिए उपयोग किया जाता है।",अहो,"आश्चर्य, आनंद किंवा अनुभूती व्यक्त करण्यासाठी एक उद्गार.",,,,,,,,,,,,,Same
ahead,Ahead,In front or in advance of something.,आगे,सामने या किसी चीज़ के पहले।,पुढे,समोर किंवा एखाद्या गोष्टीच्या अगोदर.,,,,,,,,,,,,,Same
aid,Aid,Help or support given to someone.,सहायता,किसी को दी जाने वाली मदद या समर्थन।,मदत,एखाद्यास दिलेली मदत किंवा समर्थन.,,,,,,,,,,,,,Same
aim,Aim,A goal or intention.,उद्देश्य,एक लक्ष्य या इरादा।,ध्येय,एक ध्येय किंवा हेतू.,,,,,,,,,,,,,Same
air,Air,The invisible gaseous substance surrounding the earth.,वायु,पृथ्वी के आसपास अदृश्य गैसीय पदार्थ।,हवा,पृथ्वीभोवती अदृश्य वायूयुक्त पदार्थ.,,,,,,,,,,,,,Same
aircraft,Aircraft,"A vehicle that can fly, such as an airplane or helicopter.",हवाई जहाज,"एक वाहन जो उड़ सकता है, जैसे कि हवाई जहाज या हेलीकॉप्टर।",विमान,विमान किंवा हेलिकॉप्टरसारखे उडणारे वाहन.,,,,,,,,,,,,,Same
airline,Airline,A company that provides air transportation.,एयरलाइन,एक कंपनी जो हवाई परिवहन प्रदान करती है।,एअरलाइन्स,हवाई वाहतूक प्रदान करणारी कंपनी.,,,,,,,,,,,,,Same
airport,Airport,"A place where aircraft can take off and land, with facilities for passengers.",एयरपोर्ट,"एक ऐसी जगह जहां विमान यात्रियों के लिए सुविधाओं के साथ, उतार सकते हैं और उतर सकते हैं।",विमानतळ,प्रवाशांच्या सुविधांसह विमान बंद आणि उतरू शकेल अशी जागा.,,,,,,,,,,,,,Same
alarm,Alarm,An alerting signal or warning device.,खतरे की घंटी,एक सतर्क संकेत या चेतावनी डिवाइस।,गजर,एक अलर्टिंग सिग्नल किंवा चेतावणी डिव्हाइस.,,,,,,,,,,,,,Same
album,Album,A collection of recorded music or photographs.,एल्बम,रिकॉर्ड किए गए संगीत या तस्वीरों का एक संग्रह।,अल्बम,रेकॉर्ड केलेले संगीत किंवा छायाचित्रांचा संग्रह.,,,,,,,,,,,,,Same
alcohol,Alcohol,"A colorless volatile flammable liquid that is the intoxicating constituent of wine, beer, spirits, and other drinks.",अल्कोहल,"एक रंगहीन वाष्पशील ज्वलनशील तरल जो शराब, बीयर, आत्माओं और अन्य पेय का नशीला घटक है।",अल्कोहोल,"रंगहीन अस्थिर ज्वलनशील द्रव जो वाइन, बिअर, विचार आणि इतर पेयांचा मादक घटक आहे.",,,,,,,,,,,,,Same
alcoholic,Alcoholic,Relating to or containing alcohol.,मादक,अल्कोहल से संबंधित या संबंधित।,अल्कोहोल,अल्कोहोलशी संबंधित किंवा संबंधित.,,,,,,,,,,,,,Same
alive,Alive,Having life or living.,जीवित,जीवन या जीना।,जिवंत,जीवन किंवा जगणे.,,,,,,,,,,,,,Same
all,All,The whole quantity or extent of something.,सभी,किसी चीज़ की पूरी मात्रा या सीमा।,सर्व,संपूर्ण प्रमाणात किंवा कशाचीही मर्यादा.,,,,,,,,,,,,,Same
all,All,Used to refer to the whole quantity or extent of something.,सभी,किसी चीज़ की पूरी मात्रा या सीमा का उल्लेख करने के लिए उपयोग किया जाता है।,सर्व,एखाद्या गोष्टीच्या संपूर्ण प्रमाणात किंवा व्याप्तीचा संदर्भ घेण्यासाठी वापरले जाते.,,,,,,,,,,,,,Same
allow,Allow,To give permission or make something possible.,अनुमति देना,अनुमति देने या कुछ संभव बनाने के लिए।,परवानगी द्या,परवानगी देणे किंवा काहीतरी शक्य करणे.,,,,,,,,,,,,,Same
almost,Almost,"Nearly, or not quite.",लगभग,"लगभग, या काफी नहीं।",जवळजवळ,"जवळजवळ, किंवा बरेच नाही.",,,,,,,,,,,,,Same
alone,Alone,"By oneself, without anyone else",अकेला,"अपने द्वारा, किसी और के बिना",एकटा,"स्वतःद्वारे, इतर कोणाशिवाय",,,,,,,,,,,,,Same
along,Along,In a line next to something/someone,साथ में,किसी चीज़/किसी के बगल में एक पंक्ति में,सोबत,काहीतरी/कोणाच्याही ओळीत,,,,,,,,,,,,,Same
already,Already,Previously or before now,पहले से,पहले या अब से पहले,आधीच,पूर्वी किंवा आधी,,,,,,,,,,,,,Same
also,Also,In addition to or as well as,भी,इसके अलावा या साथ ही साथ,तसेच,व्यतिरिक्त किंवा तसेच,,,,,,,,,,,,,Same
alter,Alter,To make changes to something,ऑल्टर,किसी चीज में बदलाव करने के लिए,बदल,एखाद्या गोष्टीमध्ये बदल करणे,,,,,,,,,,,,,Same
alternative,Alternative,An option or choice that is different from others,विकल्प,एक विकल्प या विकल्प जो दूसरों से अलग है,पर्यायी,एक पर्याय किंवा निवड जो इतरांपेक्षा वेगळा आहे,,,,,,,,,,,,,Same
although,Although,Despite the fact that or however,यद्यपि,इस तथ्य के बावजूद कि या हालांकि,तरी,हे किंवा तथापि,,,,,,,,,,,,,Same
always,Always,At all times or on every occasion,हमेशा,हर समय या हर अवसर पर,नेहमी,प्रत्येक वेळी किंवा प्रत्येक प्रसंगी,,,,,,,,,,,,,Same
amazed,Amazed,Surprised or astonished,चकित,हैरान या चकित,चकित,आश्चर्यचकित किंवा आश्चर्यचकित झाले,,,,,,,,,,,,,Same
amazing,Amazing,Incredible or extraordinary,अद्भुत,अविश्वसनीय या असाधारण,आश्चर्यकारक,अविश्वसनीय किंवा विलक्षण,,,,,,,,,,,,,Same
ambition,Ambition,A strong desire or goal to achieve something,महत्वाकांक्षा,कुछ हासिल करने के लिए एक मजबूत इच्छा या लक्ष्य,महत्वाकांक्षा,काहीतरी साध्य करण्याची तीव्र इच्छा किंवा ध्येय,,,,,,,,,,,,,Same
ambitious,Ambitious,Having or showing a strong desire to succeed,महत्वाकांक्षी,सफल होने के लिए एक मजबूत इच्छा दिखाना,महत्वाकांक्षी,यशस्वी होण्याची तीव्र इच्छा असणे किंवा दर्शवित आहे,,,,,,,,,,,,,Same
among,Among,In the middle of or surrounded by,के बीच,के बीच में या घिरे हुए,मध्ये,च्या मध्यभागी किंवा वेढलेले,,,,,,,,,,,,,Same
amount,Amount,A quantity or total of something,मात्रा,एक मात्रा या कुल कुछ,रक्कम,एक प्रमाण किंवा एकूण काहीतरी,,,,,,,,,,,,,Same
analyse,Analyse,To examine or study in detail,विश्लेषण,विस्तार से जांच या अध्ययन करने के लिए,विश्लेषण,सविस्तरपणे परीक्षण करणे किंवा अभ्यास करणे,,,,,,,,,,,,,Same
analysis,Analysis,The process of examining or studying in detail,विश्लेषण,विस्तार से जांच या अध्ययन की प्रक्रिया,विश्लेषण,तपशीलवार तपासणी किंवा अभ्यास करण्याची प्रक्रिया,,,,,,,,,,,,,Same
ancient,Ancient,Very old or from a long time ago,प्राचीन,बहुत बूढ़ा या बहुत पहले से,प्राचीन,खूप जुन्या किंवा खूप पूर्वीपासून,,,,,,,,,,,,,Same
and,And,Used to connect words or phrases together,और,शब्दों या वाक्यांशों को एक साथ जोड़ने के लिए उपयोग किया जाता है,आणि,शब्द किंवा वाक्ये एकत्र जोडण्यासाठी वापरले,,,,,,,,,,,,,Same
anger,Anger,A strong feeling of displeasure or hostility,गुस्सा,नाराजगी या शत्रुता की एक मजबूत भावना,राग,नाराजी किंवा वैमनस्य याची तीव्र भावना,,,,,,,,,,,,,Same
angle,Angle,The space between two lines or surfaces that meet,कोण,दो लाइनों या सतहों के बीच की जगह जो मिलती है,कोन,दोन ओळी किंवा पृष्ठभागाच्या पृष्ठभागांमधील जागा,,,,,,,,,,,,,Same
angry,Angry,Feeling or showing anger or frustration,गुस्सा,क्रोध या हताशा को महसूस करना या दिखाना,राग,भावना किंवा राग किंवा निराशा दर्शवितो,,,,,,,,,,,,,Same
animal,Animal,A living organism that is not a plant or human,जानवर,एक जीवित जीव जो एक पौधा या मानव नहीं है,प्राणी,एक सजीवांचा जीव जो वनस्पती किंवा मनुष्य नाही,,,,,,,,,,,,,Same
ankle,Ankle,The joint connecting the foot and the leg,टखना,पैर और पैर को जोड़ने वाला संयुक्त,घोट,पाय आणि पाय जोडणारा संयुक्त,,,,,,,,,,,,,Same
anniversary,Anniversary,The date on which an event occurred in a previous year,सालगिरह,वह तारीख जिस पर एक घटना पिछले वर्ष में हुई थी,वर्धापनदिन,मागील वर्षात ज्या तारखेची घटना घडली,,,,,,,,,,,,,Same
announce,Announce,To make a public statement or declaration,की घोषणा,सार्वजनिक बयान या घोषणा करने के लिए,घोषित करा,सार्वजनिक विधान किंवा घोषणा करण्यासाठी,,,,,,,,,,,,,Same
announcement,Announcement,A public statement or declaration,घोषणा,एक सार्वजनिक बयान या घोषणा,घोषणा,सार्वजनिक विधान किंवा घोषणा,,,,,,,,,,,,,Same
annoy,Annoy,To irritate or bother someone,चिढ़ाना,किसी को परेशान करना या परेशान करना,त्रास,एखाद्याला चिडवणे किंवा त्रास देणे,,,,,,,,,,,,,Same
annoyed,Annoyed,Feeling irritated or bothered,नाराज़,चिढ़ या परेशान महसूस करना,रागावलेला,चिडचिडे किंवा त्रास देत आहे,,,,,,,,,,,,,Same
annoying,Annoying,Causing irritation or frustration,कष्टप्रद,जलन या हताशा का कारण बनता है,त्रासदायक,चिडचिडेपणा किंवा निराशा कारणीभूत,,,,,,,,,,,,,Same
annual,Annual,Occurring once every year,वार्षिक,हर साल एक बार होता है,वार्षिक,दरवर्षी एकदा उद्भवते,,,,,,,,,,,,,Same
another,Another,One more or an additional one,एक और,एक और या एक अतिरिक्त,दुसरा,आणखी एक किंवा अतिरिक्त एक,,,,,,,,,,,,,Same
answer,Answer,A response to a question or problem,उत्तर,एक प्रश्न या समस्या का जवाब,उत्तर,एखाद्या प्रश्नाचा किंवा समस्येचा प्रतिसाद,,,,,,,,,,,,,Same
anxious,Anxious,Feeling worried or uneasy about something,चिंतित,किसी चीज के बारे में चिंतित या असहज महसूस करना,चिंताग्रस्त,एखाद्या गोष्टीबद्दल काळजीत किंवा अस्वस्थ वाटत आहे,,,,,,,,,,,,,Same
any,Any,Referring to one or some of a thing or things,कोई,एक या कुछ चीज़ों या चीजों का जिक्र,कोणतीही,एक किंवा काही गोष्टी किंवा गोष्टींचा संदर्भ,,,,,,,,,,,,,Same
anybody,Anybody,Any person or anyone,कोई,कोई भी व्यक्ति या कोई भी,कोणीही,कोणतीही व्यक्ती किंवा कोणीही,,,,,,,,,,,,,Same
any more,Any more,"No longer, not anymore",इसके बाद,"अब नहीं, अब नहीं",अजून काही,"यापुढे नाही, यापुढे नाही",,,,,,,,,,,,,Same
anyone,Anyone,Any person or anyone,कोई भी,कोई भी व्यक्ति या कोई भी,कोणीही,कोणतीही व्यक्ती किंवा कोणीही,,,,,,,,,,,,,Same
anything,Anything,Any thing or something,कुछ भी,कोई चीज या कुछ और,काहीही,कोणतीही गोष्ट किंवा काहीतरी,,,,,,,,,,,,,Same
anyway,Anyway,Regardless or in any case,फिर भी,चाहे या किसी भी मामले में,असो,पर्वा न करता किंवा कोणत्याही परिस्थितीत,,,,,,,,,,,,,Same
anywhere,Anywhere,Any place or location,कहीं भी,कोई जगह या स्थान,कोठेही,कोणतीही जागा किंवा स्थान,,,,,,,,,,,,,Same
apart,Apart,Separated or at a distance from something,अलग,अलग या किसी चीज़ से दूरी पर,बाजूला,विभक्त किंवा एखाद्या गोष्टीपासून अंतरावर,,,,,,,,,,,,,Same
apartment,Apartment,A living space in a building with multiple units,अपार्टमेंट,कई इकाइयों के साथ एक इमारत में रहने की जगह,अपार्टमेंट,एकाधिक युनिट्स असलेल्या इमारतीत राहण्याची जागा,,,,,,,,,,,,,Same
apologize,Apologize,To express regret or say sorry for something,क्षमा माँगना,पछतावा व्यक्त करने या किसी चीज़ के लिए खेद कहने के लिए,दिलगीर आहोत,दु: ख व्यक्त करणे किंवा एखाद्या गोष्टीबद्दल दिलगिरी व्यक्त करणे,,,,,,,,,,,,,Same
